Date,Species,Abundance,Panel,DominantSpecies,HealthyAverage,HealthyMax
12/28/11,Adlercreutzia_equolifaciens,0.031,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Aeromonas_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Aggregatibacter_segnis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Aggregatibacter_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Akkermansia_muciniphila,12.328,Xin Fang MetaphlAN 2 Metagenomics,,0.984429411764706,8.439
12/28/11,Alistipes_finegoldii,0.005,Xin Fang MetaphlAN 2 Metagenomics,,1.15306764705882,10.7227
12/28/11,Alistipes_indistinctus,0.045,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_onderdonkii,0.742,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_putredinis,3.151,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_senegalensis,0.021,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_shahii,0.587,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_sp_AP11,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_sp_HGB5,0.41,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Alistipes_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Anaerococcus_vaginalis,0.014,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Anaerostipes_hadrus,0.071,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Anaerotruncus_colihominis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Anaerotruncus_unclassified,0.018,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroidales_bacterium_ph8,0.529,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_caccae,0.538,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_cellulosilyticus,1.281,Xin Fang MetaphlAN 2 Metagenomics,,1.48938235294118,18.1811
12/28/11,Bacteroides_dorei,0.111,Xin Fang MetaphlAN 2 Metagenomics,,2.11637352941176,9.7387
12/28/11,Bacteroides_faecis,0.001,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_fragilis,1.369,Xin Fang MetaphlAN 2 Metagenomics,,0.905426470588236,4.1907
12/28/11,Bacteroides_intestinalis,0.968,Xin Fang MetaphlAN 2 Metagenomics,,0.630638235294118,6.4841
12/28/11,Bacteroides_nordii,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_ovatus,0.409,Xin Fang MetaphlAN 2 Metagenomics,,4.23238823529412,41.7481
12/28/11,Bacteroides_pectinophilus,0.29,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_salyersiae,0.118,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_thetaiotaomicron,0.702,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bacteroides_uniformis,1.401,Xin Fang MetaphlAN 2 Metagenomics,,1.7114,4.2107
12/28/11,Bacteroides_vulgatus,0.622,Xin Fang MetaphlAN 2 Metagenomics,,6.05498529411765,26.5957
12/28/11,Bacteroides_xylanisolvens,0.042,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Barnesiella_intestinihominis,0.589,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bifidobacterium_animalis,0.27,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bifidobacterium_breve,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
