LS Gut Microbiome ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequenced in Knight Lab from LS Frozen Stool Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date stool sample collected,,Max,Average,12/28/11,4/3/12,8/7/12,11/6/12,1/26/13,2/8/13,2/5/13,3/24/13,4/7/13,4/29/13,7/14/13,9/3/13,9/24/13,11/10/13,12/14/13,1/19/14,2/17/14,3/23/14,5/4/14,6/16/14,7/24/14,8/22/14,8/25/14,9/28/14,11/16/14,12/7/14,12/17/14,1/6/15,1/14/15,1/25/15,2/8/15,2/23/15,3/8/15,3/24/15,4/4/15,4/19/15,5/3/15,5/31/15,6/14/15,7/8/15,7/9/15,7/10/15,7/11/15,7/12/15,7/15/15,7/19/15,7/26/15,8/23/15,9/6/15,9/16/15,10/11/15,11/8/15,11/22/15,12/27/15,1/10/16,1/24/16,2/7/16,2/28/16,3/13/16,3/27/16,4/24/16,5/8/16,5/22/16,6/5/16,6/15/16,6/19/16,6/26/16,7/3/16,7/19/16,7/31/16,8/14/16,9/4/16,9/11/16,10/8/16,10/17/16,10/26/16,11/5/16,11/9/16,11/10/16,11/13/16,11/20/16,11/27/16,12/1/16,12/3/16,12/4/16,12/11/16,12/17/16,12/25/16,1/1/17,1/8/17,1/15/17,1/22/17,1/31/17,2/11/17,2/26/17,3/13/17,4/16/17,4/30/17,5/14/17,5/28/17,6/25/17,7/17/17,8/13/17,9/16/17,10/15/17,10/25/17,11/9/17,12/3/17,12/10/17,12/31/17,1/14/18,1/24/18,2/12/18,2/25/18,3/10/18,3/26/18,4/8/18,4/20/18,5/13/18,5/27/18,6/10/18,6/24/18,7/1/18,7/17/18,7/18/18,7/29/18,8/11/18,8/25/18,8/31/18,9/1/18,9/18/18,9/19/18,9/24/18,9/29/18,10/3/18,10/7/18,10/17/18,11/4/18,11/14/18,11/24/18,12/1/18,12/12/18,12/25/18,1/13/19,1/27/19,2/10/19,2/24/19,3/18/19,3/31/19,4/14/19,4/28/19,5/12/19,5/19/19,6/2/19,6/16/19,6/23/19,7/14/19,7/28/19,8/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16S Relative Abundance,,,,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,16S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of 16S Relative Abundances,,,,97.15,97.89,97.98,98.39,97.89,98.15,97.34,98.81,98.42,98.44,99.24,99.16,98.55,98.79,98.82,96.61,98.31,98.64,98.07,98.66,98.56,97.94,97.48,98.97,99.32,97.95,98.68,98.34,97.91,99.02,98.72,98.74,97.78,97.58,97.24,98.34,98.19,98.06,97.52,99.04,99.29,98.33,98.26,98.11,98.96,98.17,98.42,99.22,98.29,99.59,99.62,99.26,98.42,98.84,98.78,98.92,98.78,98.66,99.12,98.86,99.62,99.33,96.68,99.02,99.27,99.37,99.22,98.39,98.75,98.66,97.97,99.11,98.68,99.08,99.32,99.38,98.42,99.28,99.46,99.18,98.87,97.99,98.00,99.87,99.76,98.72,97.60,97.69,98.63,97.86,97.16,97.98,98.12,98.36,99.32,98.41,99.04,99.03,98.92,99.20,99.26,99.23,99.30,99.34,98.90,99.25,98.70,99.17,99.19,99.20,98.92,99.09,99.24,98.69,98.98,98.58,98.89,99.28,99.28,99.21,99.35,99.50,97.34,98.67,99.56,99.32,99.20,98.97,99.43,99.21,99.40,99.45,99.42,99.25,99.06,98.40,98.85,98.52,99.05,99.46,99.43,99.03,99.47,99.38,99.23,99.13,98.55,98.80,98.92,98.51,98.56,98.92,98.89,98.51,99.06,99.10,99.00,98.52,99.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dominate species from Metagenomics comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Proteobacteria;cf__Enterobacteriaceae;g__Morganella,Morganella_morganii,51.82,3.02,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.01,0.00,0.00,1.50,0.70,3.25,8.77,3.56,1.34,1.29,3.35,7.52,9.55,0.65,2.52,6.97,2.46,8.32,1.06,1.37,1.11,1.72,0.79,5.02,14.35,4.70,6.24,1.29,3.16,7.75,0.68,0.17,8.08,1.27,1.46,1.77,10.37,0.30,6.31,8.82,4.72,0.76,0.43,0.00,0.09,0.00,0.00,0.16,0.00,0.00,0.39,0.11,0.02,0.30,0.12,0.02,0.04,0.12,0.01,0.18,0.00,0.00,0.16,51.82,22.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,10.53,0.42,6.84,5.38,9.11,2.69,1.34,6.18,0.59,0.46,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.88,9.27,6.32,5.85,2.04,9.06,8.19,15.70,23.55,16.10,6.60,14.17,26.81,18.65,13.23,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Proteobacteria;f__Enterobacteriaceae;__,Klebsiella_pneumoniae,51.16,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.14,0.00,0.01,0.00,0.00,2.75,2.63,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,6.23,4.78,0.00,0.00,0.02,0.01,0.01,0.01,0.00,0.02,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.02,0.11,0.00,0.00,0.04,7.19,0.02,0.00,0.03,0.00,0.03,0.48,0.09,0.00,0.06,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.63,51.16,0.00,0.00,0.00,0.05,0.02,0.00,0.00,0.03,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,4.38,0.00,0.00,0.01,4.33,0.00,0.87,0.01,0.00,0.00,3.26,20.08,10.44,23.75,0.04,23.32,0.21,0.54,0.69,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.15,0.41,0.00,0.03,0.05,0.52,22.98,0.06,0.02,0.00,0.00,0.82,0.14,0.03,1.01,0.92,1.16,14.82,3.64,0.00,0.01,0.13,0.00,0.00,0.00,0.00,0.00,0.00,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Proteobacteria;f__Enterobacteriaceae;g__,Escherichia_coli,45.50,6.06,16.76,38.41,13.98,30.64,1.19,12.73,0.78,14.42,8.94,9.74,15.55,31.02,31.39,21.21,23.90,3.00,13.80,16.51,23.44,16.18,1.76,5.23,2.89,15.99,15.40,0.31,0.20,1.07,0.39,0.09,0.14,0.13,0.02,1.22,0.11,0.60,0.57,0.22,1.36,0.21,0.23,3.01,1.27,2.05,0.15,0.34,0.16,8.95,3.50,0.10,0.18,0.19,0.30,0.35,4.59,0.79,1.04,0.62,0.86,0.58,0.34,11.59,6.57,9.48,14.48,24.77,6.01,13.50,21.23,10.28,22.45,1.17,0.41,1.13,1.04,0.11,0.67,0.35,0.12,0.56,0.50,0.31,1.12,0.16,2.76,0.31,0.40,0.12,0.27,0.21,0.24,0.14,0.16,0.31,45.50,0.13,0.13,0.06,2.01,0.06,1.18,0.31,0.12,0.08,0.12,0.08,0.29,0.38,2.56,0.38,10.42,0.14,0.02,0.03,0.23,0.17,0.14,0.61,0.10,2.32,12.07,0.19,0.22,3.96,32.60,9.89,10.59,23.37,25.29,15.79,19.59,12.23,31.19,32.83,19.22,7.48,0.63,3.11,14.10,14.80,9.97,1.35,3.32,1.39,1.93,0.10,0.14,0.04,0.16,0.23,0.46,0.14,0.54,0.60,0.36,0.17,5.04,5.73,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Bacteroidetes;f__Bacteroidaceae;g__Bacteroides,Bacteroides_uniformis,40.70,14.56,4.18,2.10,11.18,6.31,26.44,24.14,18.35,22.05,20.30,21.51,16.45,7.29,4.66,10.85,13.50,15.20,21.19,15.71,10.55,11.12,16.23,9.38,19.52,14.56,10.93,14.66,20.76,21.14,13.01,10.43,11.60,9.79,18.32,11.58,7.28,10.85,11.36,13.64,15.43,18.20,28.47,27.70,23.26,25.54,13.73,3.86,11.07,14.33,30.49,33.12,15.20,18.81,11.47,10.16,40.70,16.51,12.66,11.85,8.89,10.12,12.48,10.88,22.07,18.98,7.40,7.51,20.90,30.11,5.42,17.87,16.05,20.75,19.02,17.79,10.17,19.46,24.06,30.14,38.22,19.35,10.23,12.51,7.67,34.44,10.83,30.02,11.75,6.04,21.33,13.34,7.99,10.91,8.17,15.53,2.78,7.10,23.15,13.70,13.89,15.63,10.07,22.77,18.79,8.59,15.74,9.72,38.34,16.82,11.49,9.07,14.48,17.58,14.43,7.76,6.72,12.48,5.38,27.13,22.18,16.11,16.72,22.17,9.34,8.29,9.20,15.52,7.45,10.52,10.77,7.54,7.39,18.04,17.02,6.96,11.72,26.33,10.24,13.22,14.25,7.84,8.28,14.59,9.26,7.26,11.56,11.14,9.80,9.58,15.67,10.47,13.92,7.54,9.62,10.88,8.46,10.67,5.14,0.74,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Firmicutes;f__Ruminococcaceae;g__,Subdoligranulum_unclassified,31.06,12.21,13.01,8.35,13.65,14.17,11.45,10.69,18.82,4.74,5.94,7.91,5.83,4.09,5.59,4.33,7.50,7.68,13.06,7.79,14.84,6.18,10.12,9.12,11.15,5.14,5.48,10.83,4.08,9.70,12.39,16.56,15.04,9.20,9.57,14.48,8.87,14.97,10.38,15.20,13.52,3.35,1.47,3.83,5.23,4.22,8.39,14.45,12.19,15.16,8.53,3.45,7.50,9.04,14.11,17.30,7.58,9.54,14.64,16.34,16.44,10.77,7.23,9.14,5.98,15.67,16.44,10.27,10.06,10.35,13.70,14.30,10.77,17.52,13.56,17.34,16.88,9.95,14.77,4.61,4.52,10.26,14.70,20.59,9.51,1.01,6.87,21.04,26.38,23.20,20.94,25.41,26.74,18.95,31.06,18.32,10.93,20.38,10.23,8.35,16.43,13.11,11.87,12.65,13.50,14.77,10.50,11.84,8.32,8.80,11.97,10.55,13.88,9.89,12.36,17.83,17.16,21.67,17.14,10.76,21.60,14.60,12.80,14.92,16.95,16.95,10.82,12.80,16.48,14.62,11.15,14.63,13.12,8.80,4.95,12.61,10.75,13.99,10.29,18.17,6.77,11.56,11.76,14.05,12.05,12.54,10.96,11.92,14.69,11.23,9.20,12.62,12.75,13.89,11.73,12.78,8.77,12.79,18.82,19.58,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Verrucomicrobia;f__Verrucomicrobiaceae;g__Akkermansia,Akkermansia_muciniphila,24.53,4.12,14.77,0.85,4.13,5.67,3.12,2.46,6.58,0.49,0.49,0.45,0.25,0.07,0.02,0.05,0.70,14.83,4.94,3.94,3.89,4.89,9.04,1.17,9.70,0.36,0.25,1.66,0.77,10.73,10.61,24.16,5.51,0.59,3.93,13.68,1.21,20.01,3.88,8.67,9.51,7.24,0.73,8.00,10.21,4.03,1.98,0.72,4.93,3.08,3.38,0.55,2.85,0.17,1.24,2.99,6.22,4.69,2.84,3.36,4.97,4.64,1.46,13.71,24.53,3.22,3.54,13.39,2.94,0.46,1.56,0.11,5.21,1.86,3.59,3.06,5.44,0.50,3.86,15.08,0.73,2.07,6.34,5.30,0.53,0.02,0.03,0.05,0.42,1.61,0.63,0.44,0.24,0.38,1.01,1.48,0.75,2.26,4.14,5.29,5.40,6.65,19.03,1.13,1.91,4.52,9.48,5.40,4.65,5.11,6.31,2.20,1.89,3.47,4.70,11.19,3.62,2.15,3.09,1.65,4.26,3.29,2.30,3.48,11.20,3.60,2.04,1.22,2.76,6.30,6.06,4.45,1.36,0.91,0.37,0.77,1.00,1.72,3.11,14.58,0.56,1.65,4.35,2.45,1.90,5.05,1.62,2.47,6.00,0.54,0.60,2.88,4.43,1.29,3.73,3.96,1.19,0.97,0.66,5.50,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p__Firmicutes;f__;g__,Clostridium_sp_L2_50,19.44,5.85,9.52,2.23,4.84,3.20,2.88,3.48,3.52,3.23,2.57,3.69,2.44,2.40,2.22,3.76,3.00,3.54,3.50,4.74,1.81,2.50,4.43,8.20,4.76,4.95,3.65,7.14,4.63,2.65,3.82,4.27,5.40,6.39,5.79,6.26,9.47,3.36,7.50,4.85,7.23,2.39,1.44,2.17,3.50,5.09,4.27,9.54,8.11,5.52,4.34,2.26,5.23,5.59,8.31,8.29,3.30,5.74,4.06,9.76,12.06,8.05,11.73,9.59,3.28,7.85,10.25,12.24,10.57,2.33,7.11,6.48,10.25,6.35,10.88,9.25,13.06,6.04,9.40,1.95,5.56,3.57,19.44,16.18,7.12,0.25,2.13,2.27,3.26,3.45,2.95,6.13,3.49,3.09,2.22,3.44,4.28,3.86,2.95,6.63,4.13,3.90,5.22,3.90,5.56,5.88,4.68,6.87,4.19,6.28,6.54,7.02,8.28,4.99,5.71,8.24,5.37,6.19,8.19,4.21,10.03,5.51,7.30,2.96,15.74,8.80,3.83,5.87,6.90,5.67,4.15,4.26,4.97,4.16,2.71,4.30,4.70,5.20,7.85,6.53,3.15,6.86,7.58,5.04,8.01,8.38,6.53,7.01,8.62,5.59,5.51,7.85,8.89,7.02,8.21,9.19,8.85,6.25,5.16,6.15,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
