Date,Sum16S,SumMetagenomics,Shannon16S
12/28/11,97.15,99.957,5.444
4/3/12,97.89,99.985,4.633
8/7/12,97.98,99.965,5.997
11/6/12,98.39,99.983,5.244
1/26/13,97.89,99.987,6.235
2/8/13,98.15,99.993,5.768
2/5/13,97.34,0.0,
3/24/13,98.81,99.997,5.691
4/7/13,98.42,99.998,5.819
4/29/13,98.44,99.981,5.76
7/14/13,99.24,99.98,5.478
9/3/13,99.16,99.991,4.995
9/24/13,98.55,99.995,5.11
11/10/13,98.79,99.992,5.28
12/14/13,98.82,100.0,5.523
1/19/14,96.61,100.0,5.905
2/17/14,98.31,0.0,5.942
3/23/14,98.64,99.999,5.784
5/4/14,98.07,99.996,5.759
6/16/14,98.66,99.989,5.636
7/24/14,98.56,0.0,6.243
8/22/14,97.94,99.992,6.449
8/25/14,97.48,99.991,6.159
9/28/14,98.97,99.992,5.773
11/16/14,99.32,99.995,5.508
12/7/14,97.95,99.996,6.581
12/17/14,98.68,99.984,5.811
1/6/15,98.34,99.987,6.015
1/14/15,97.91,99.988,6.399
1/25/15,99.02,99.997,5.775
2/8/15,98.72,99.982,6.474
2/23/15,98.74,100.0,6.413
3/8/15,97.78,99.984,6.015
3/24/15,97.58,99.993,6.222
4/4/15,97.24,99.99,6.576
4/19/15,98.34,99.998,5.864
5/3/15,98.19,99.978,6.539
5/31/15,98.06,99.978,6.161
6/14/15,97.52,99.988,6.297
7/8/15,99.04,99.993,5.567
7/9/15,99.29,99.991,4.63
7/10/15,98.33,100.0,5.566
7/11/15,98.26,99.994,5.805
7/12/15,98.11,99.998,5.762
7/15/15,98.96,99.996,5.913
7/19/15,98.17,99.999,6.441
7/26/15,98.42,99.991,6.436
8/23/15,99.22,,6.327
9/6/15,98.29,,6.085
9/16/15,99.59,,5.05
10/11/15,99.62,,6.207
11/8/15,99.26,,6.117
11/22/15,98.42,,6.475
12/27/15,98.84,,6.47
1/10/16,98.78,,5.102
1/24/16,98.92,,6.46
2/7/16,98.78,,5.928
2/28/16,98.66,,6.207
3/13/16,99.12,,6.171
3/27/16,98.86,,5.999
4/24/16,99.62,,5.812
5/8/16,99.33,,5.73
5/22/16,96.68,,5.187
6/5/16,99.02,,5.991
6/15/16,99.27,,5.869
6/19/16,99.37,,5.247
6/26/16,99.22,,6.111
7/3/16,98.39,,5.663
7/19/16,98.75,,5.94
7/31/16,98.66,,5.981
8/14/16,97.97,,5.51
9/4/16,99.11,,6.502
9/11/16,98.68,,6.499
10/8/16,99.08,,6.512
10/17/16,99.32,,6.12
10/26/16,99.38,,6.219
11/5/16,98.42,,6.304
11/9/16,99.28,,5.338
11/10/16,99.46,,5.593
11/13/16,99.18,,6.151
11/20/16,98.87,,6.219
11/27/16,97.99,,6.594
12/1/16,98.0,,6.531
12/3/16,99.87,,1.787
12/4/16,99.76,,2.312
12/11/16,98.72,,5.486
12/17/16,97.6,,6.157
12/25/16,97.69,,5.908
1/1/17,98.63,,5.925
1/8/17,97.86,,6.289
1/15/17,97.16,,5.862
1/22/17,97.98,,6.189
1/31/17,98.12,,6.136
2/11/17,98.36,,6.287
2/26/17,99.32,,4.398
3/13/17,98.41,,6.054
4/16/17,99.04,,5.864
4/30/17,99.03,,5.998
5/14/17,98.92,,6.146
5/28/17,99.2,,6.225
6/25/17,99.26,,5.715
7/17/17,99.23,,6.194
8/13/17,99.3,,6.327
9/16/17,99.34,,5.958
10/15/17,98.9,,6.056
10/25/17,99.25,,6.448
11/9/17,98.7,,5.791
12/3/17,99.17,,6.296
12/10/17,99.19,,6.069
12/31/17,99.2,,6.298
1/14/18,98.92,,6.174
1/24/18,99.09,,6.114
2/12/18,99.24,,5.74
2/25/18,98.69,,6.041
3/10/18,98.98,,5.641
3/26/18,98.58,,6.324
4/8/18,98.89,,5.663
4/20/18,99.28,,5.826
5/13/18,99.28,,6.244
5/27/18,99.21,,6.053
6/10/18,99.35,,5.963
6/24/18,99.5,,6.035
7/1/18,97.34,,6.394
7/17/18,98.67,,4.891
7/18/18,99.56,,
7/29/18,99.32,,6.15
8/11/18,99.2,,6.186
8/25/18,98.97,,5.706
8/31/18,99.43,,5.291
9/1/18,99.21,,5.796
9/18/18,99.4,,5.559
9/19/18,99.45,,5.541
9/24/18,99.42,,4.609
9/29/18,99.25,,4.933
10/3/18,99.06,,5.588
10/7/18,98.4,,5.887
10/17/18,98.85,,5.599
11/4/18,98.52,,5.863
11/14/18,99.05,,5.884
11/24/18,99.46,,5.923
12/1/18,99.43,,6.046
12/12/18,99.03,,6.386
12/25/18,99.47,,6.314
1/13/19,99.38,,6.04
1/27/19,99.23,,6.221
2/10/19,99.13,,6.371
2/24/19,98.55,,6.457
3/18/19,98.8,,6.073
3/31/19,98.92,,6.049
4/14/19,98.51,,6.333
4/28/19,98.56,,6.079
5/12/19,98.92,,5.842
5/19/19,98.89,,6.087
6/2/19,98.51,,6.544
6/16/19,99.06,,6.082
6/23/19,99.1,,5.596
7/14/19,99.0,,6.007
7/28/19,98.52,,6.133
8/11/19,99.32,,6.122
