Species,12/28/11,4/3/12,8/7/12,11/6/12,1/26/13,2/8/13,2/5/13,3/24/13,4/7/13,4/29/13,7/14/13,9/3/13,9/24/13,11/10/13,12/14/13,1/19/14,2/17/14,3/23/14,5/4/14,6/16/14,7/24/14,8/22/14,8/25/14,9/28/14,11/16/14,12/7/14,12/17/14,1/6/15,1/14/15,1/25/15,2/8/15,2/23/15,3/8/15,3/24/15,4/4/15,4/19/15,5/3/15,5/31/15,6/14/15,7/8/15,7/9/15,7/10/15,7/11/15,7/12/15,7/15/15,7/19/15,7/26/15,8/23/15,9/6/15,9/16/15,10/11/15,11/8/15,11/22/15,12/27/15,1/10/16,1/24/16,2/7/16,2/28/16,3/13/16,3/27/16,4/24/16,5/8/16,5/22/16,6/5/16,6/15/16,6/19/16,6/26/16,7/3/16,7/19/16,7/31/16,8/14/16,9/4/16,9/11/16,10/8/16,10/17/16,10/26/16,11/5/16,11/9/16,11/10/16,11/13/16,11/20/16,11/27/16,12/1/16,12/3/16,12/4/16,12/11/16,12/17/16,12/25/16,1/1/17,1/8/17,1/15/17,1/22/17,1/31/17,2/11/17,2/26/17,3/13/17,4/16/17,4/30/17,5/14/17,5/28/17,6/25/17,7/17/17,8/13/17,9/16/17,10/15/17,10/25/17,11/9/17,12/3/17,12/10/17,12/31/17,1/14/18,1/24/18,2/12/18,2/25/18,3/10/18,3/26/18,4/8/18,4/20/18,5/13/18,5/27/18,6/10/18,6/24/18,7/1/18,7/17/18,7/18/18,7/29/18,8/11/18,8/25/18,8/31/18,9/1/18,9/18/18,9/19/18,9/24/18,9/29/18,10/3/18,10/7/18,10/17/18,11/4/18,11/14/18,11/24/18,12/1/18,12/12/18,12/25/18,1/13/19,1/27/19,2/10/19,2/24/19,3/18/19,3/31/19,4/14/19,4/28/19,5/12/19,5/19/19,6/2/19,6/16/19,6/23/19,7/14/19,7/28/19,8/11/19
Adlercreutzia_equolifaciens,0.031,0.035,0.143,0.064,0.041,0.036,,0.008,0.006,0.047,0.019,0.011,0.009,0.0,0.011,0.03,,0.015,0.057,0.017,,0.077,0.116,0.027,0.011,0.071,0.019,0.015,0.023,0.055,0.024,0.089,0.108,0.069,0.157,0.034,0.079,0.079,0.109,0.046,0.021,0.015,0.062,0.013,0.02,0.046,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeromonas_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregatibacter_segnis,0.0,0.0,0.0,0.0,0.0,0.014,,0.015,0.562,0.012,0.001,0.005,0.0,0.0,0.001,0.018,,0.0,0.019,0.0,,0.002,0.001,0.0,0.026,0.0,0.012,0.032,0.0,0.0,0.001,0.0,0.0,0.041,0.0,0.075,0.0,0.0,0.028,0.018,0.002,0.161,0.04,0.042,0.0,0.005,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregatibacter_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.137,0.011,0.003,0.0,0.002,0.0,0.005,0.013,,0.0,0.006,0.0,,0.003,0.0,0.0,0.009,0.002,0.006,0.013,0.0,0.0,0.004,0.0,0.0,0.017,0.0,0.032,0.003,0.003,0.023,0.002,0.0,0.076,0.016,0.036,0.003,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkermansia_muciniphila,12.328,0.95,3.842,5.579,3.518,3.212,,1.063,0.892,1.072,0.402,0.138,0.017,0.02,0.92,17.598,,5.575,4.804,5.981,,2.712,11.223,0.611,0.508,3.632,1.661,10.777,18.129,24.81,6.455,1.058,4.186,19.628,1.898,20.621,5.032,5.032,13.133,11.922,1.383,9.889,13.387,4.588,3.119,1.94,7.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_finegoldii,0.005,0.001,0.007,0.004,0.011,0.014,,0.006,0.003,0.011,0.014,0.004,0.003,0.008,0.021,0.031,,0.026,0.028,0.03,,0.019,0.021,0.018,0.014,0.033,0.03,0.055,0.027,0.048,0.061,0.029,0.05,0.027,0.02,0.031,0.037,0.037,0.029,0.011,0.006,0.007,0.013,0.026,0.046,0.041,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_indistinctus,0.045,0.005,0.053,0.071,0.157,0.172,,0.011,0.015,0.032,0.045,0.015,0.015,0.015,0.051,0.304,,0.057,0.12,0.094,,0.044,0.115,0.028,0.027,0.061,0.057,0.115,0.025,0.096,0.066,0.026,0.037,0.073,0.022,0.083,0.024,0.024,0.033,0.017,0.003,0.007,0.021,0.021,0.042,0.043,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_onderdonkii,0.742,0.033,0.952,0.537,1.481,1.698,,0.364,0.35,0.433,0.378,0.186,0.333,0.248,0.6,0.366,,0.296,0.75,0.702,,0.507,0.757,0.357,0.531,0.621,0.641,1.592,1.015,1.562,1.908,0.987,1.388,0.663,0.401,1.059,0.65,0.65,0.625,0.241,0.248,0.41,0.436,0.629,0.863,0.891,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_putredinis,3.151,0.885,2.783,3.23,6.622,2.184,,3.834,2.53,3.989,2.295,1.817,1.41,2.606,2.716,4.432,,3.487,4.175,4.87,,2.6,2.388,3.156,2.82,3.941,4.531,4.036,3.871,5.559,5.698,3.682,3.798,2.397,2.383,3.484,2.837,2.837,1.605,2.201,2.73,2.018,1.829,3.46,4.84,4.686,4.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_senegalensis,0.021,0.009,0.027,0.038,0.051,0.071,,0.034,0.034,0.049,0.037,0.012,0.011,0.024,0.041,0.055,,0.046,0.061,0.064,,0.04,0.047,0.044,0.046,0.071,0.053,0.139,0.126,0.112,0.155,0.069,0.084,0.063,0.044,0.088,0.076,0.076,0.056,0.024,0.021,0.024,0.04,0.05,0.116,0.073,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_shahii,0.587,0.16,0.841,1.35,1.129,1.533,,1.397,1.415,1.763,2.519,0.725,0.31,1.139,1.414,2.351,,1.246,0.633,1.163,,0.938,0.968,0.979,1.36,1.169,0.993,2.071,0.771,1.46,1.305,0.747,1.261,0.718,1.118,1.508,1.372,1.372,0.72,0.562,0.662,0.78,0.688,1.51,2.07,1.765,1.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_sp_AP11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.819,0.394,0.202,0.507,0.403,0.137,0.258,0.242,0.242,0.427,0.0,0.0,0.0,0.23,0.281,0.829,0.609,0.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_sp_HGB5,0.41,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.876,0.0,0.199,0.443,1.246,1.934,,0.439,0.713,0.529,,0.97,1.363,0.793,0.634,0.946,0.854,0.698,0.64,1.266,2.728,0.338,1.016,1.069,0.858,1.281,1.101,1.101,0.895,0.515,0.565,0.0,1.07,1.321,1.317,1.004,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_unclassified,0.0,0.0,0.0,0.0,0.0,0.865,,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.287,0.0,0.0,0.0,0.0,0.0,0.651,0.0,0.0,0.0,0.0,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
